Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9
342,1365,288,104,148,1126,800,876,768,561,846,1070,634,1324,1028,532,1766,421,1791,370
316,1391,288,104,148,1126,663,1000,774,568,846,1091,634,1179,1058,534,1661,306,1791,306
320,1391,288,104,148,1126,660,1003,774,498,916,1182,634,1386,1096,661,1518,316,1738,237
320,1391,225,167,148,1126,647,1016,774,493,921,1191,638,1386,1050,661,1518,348,1705,170
320,1374,197,212,148,1126,437,1226,760,369,1049,1184,547,1447,1002,670,1781,370,1457,167
320,1281,276,225,149,1126,363,1238,822,311,952,1184,481,1277,1138,670,1756,307,1389,145
320,1259,298,225,149,1126,232,1330,855,161,1108,1171,461,1249,1150,673,1753,307,1386,144
381,1234,323,225,149,1125,233,1330,855,148,1121,1258,444,1217,1135,673,1740,307,1178,144
322,1293,321,227,143,1087,276,1331,855,110,1159,1268,368,1217,1102,673,1740,354,1045,272
374,1282,335,227,142,1031,283,1381,758,207,1159,1378,368,1217,1102,630,1697,316,1045,272
351,986,601,283,142,1022,292,1381,751,214,1159,1337,479,1217,1102,700,1582,334,1027,272
541,620,910,350,142,995,319,1363,769,212,1161,1339,483,1217,1102,833,1277,334,1035,429
512,638,921,355,142,849,465,1362,770,212,1161,1339,468,1217,1102,873,1277,334,1035,447
510,646,917,366,142,538,756,1291,861,212,1159,1344,464,1217,1102,908,1037,334,1035,447
494,662,917,366,142,325,941,1187,989,216,1099,1348,464,1217,1102,1026,1195,329,1035,447
488,669,917,366,142,257,1001,1168,1016,201,887,1349,428,1217,1102,1026,1172,324,1050,447
640,629,957,356,152,247,1011,1164,1020,201,871,1349,421,1187,1102,1026,1300,324,1060,447
682,629,955,358,152,247,1011,1164,1020,201,806,1349,411,1159,1102,1026,1434,324,837,447
707,540,1044,358,152,244,1006,1081,1049,218,695,1344,302,1144,1102,1026,1487,311,822,441
568,677,1046,358,136,256,1010,1014,1116,206,707,1320,301,1131,1245,1026,1498,311,744,437
568,677,1046,347,147,214,1052,995,1135,206,707,1320,249,1101,967,1076,1470,572,693,415
568,677,1041,317,161,223,1038,990,1166,206,707,1129,251,1083,912,1206,1370,567,650,414
608,677,1041,310,155,236,1022,989,1183,205,701,748,372,1083,912,1206,1355,585,269,584
626,677,1041,310,113,274,985,1025,1158,235,641,653,449,1083,912,1231,1347,598,449,568
763,588,1130,310,104,240,996,1024,1138,288,611,653,432,1083,907,1234,1313,598,274,585
900,532,1193,301,107,240,1000,989,1174,289,611,653,385,1033,832,1149,1313,598,424,585
900,469,1256,301,107,179,1061,989,1123,332,605,653,385,1206,832,1144,1348,598,454,581
1112,469,1256,301,107,172,1068,989,972,483,565,653,612,1003,817,1096,1518,598,467,580
1139,431,1294,301,97,174,1076,878,968,598,561,663,612,765,804,1031,1518,598,550,586
1139,431,1280,315,73,189,1085,852,971,621,561,807,612,702,794,909,1596,598,598,516
1139,431,1276,319,73,178,1096,839,948,657,561,779,612,702,769,867,1804,598,720,515
1139,342,1365,288,104,148,1126,800,876,768,561,779,612,584,769,842,1886,578,723,647
1139,316,1391,288,104,148,1126,663,1000,774,568,739,612,584,596,837,1931,593,750,674
1135,320,1391,288,104,148,1126,660,1003,774,498,617,612,329,553,702,1931,540,790,704
1135,320,1391,225,167,148,1126,647,1016,774,493,523,608,314,633,702,1931,475,795,718
1135,320,1374,197,212,148,1126,437,1226,760,369,523,616,223,696,690,1588,415,800,757
1135,320,1281,276,225,149,1126,363,1238,822,311,523,728,223,670,710,1583,407,828,776
1190,320,1259,298,225,149,1126,232,1330,855,161,525,728,178,633,707,1753,407,875,777
1140,381,1234,323,225,149,1125,233,1330,855,148,464,728,173,658,707,1753,447,945,777
1140,322,1293,321,227,143,1087,276,1331,855,110,667,728,173,666,707,1753,392,1080,649
1086,374,1282,335,227,142,1031,283,1381,758,207,573,728,173,676,707,1753,445,1090,649
1083,351,986,601,283,142,1022,292,1381,751,214,638,617,176,676,612,1753,433,1158,649
955,541,620,910,350,142,995,319,1363,769,212,792,598,336,676,479,1753,433,1240,509
1028,512,638,921,355,142,849,465,1362,770,212,792,598,336,676,439,1753,441,1240,491
1015,510,646,917,366,142,538,756,1291,861,212,787,598,548,866,404,1713,441,1275,506
1015,494,662,917,366,142,325,941,1187,989,216,783,598,573,868,286,1480,449,1277,506
