Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2
988,746,1194,628,680,1022,832,532,1288,548,846,793,339,666
830,904,1186,636,680,1020,834,482,1338,538,856,793,427,605
775,959,1127,695,655,867,1012,482,941,876,915,783,433,609
720,1014,1045,697,715,878,1021,482,941,869,922,783,417,526
732,1015,947,758,747,860,1044,367,1017,908,922,782,446,558
732,1015,918,782,752,842,1062,219,1114,959,922,591,446,558
777,1015,892,776,784,772,1132,219,929,1144,922,573,446,555
880,1015,633,885,934,771,1113,223,898,1191,877,591,446,555
999,1015,606,851,995,771,1113,223,879,1160,906,516,442,555
1016,1015,529,927,990,527,1363,223,866,1173,906,510,441,568
1042,1036,527,929,977,434,1469,223,842,1197,906,500,464,568
1206,1036,527,929,969,358,1553,82,933,1247,736,634,486,567
1294,1039,502,947,976,358,1539,88,803,1385,653,717,515,567
1328,914,627,946,977,184,1666,124,782,1384,682,721,522,565
1412,836,705,947,961,118,1748,124,782,1384,635,768,674,548
1412,738,803,924,928,174,1748,122,681,1487,598,805,674,553
1429,709,832,906,927,193,1748,122,656,1512,528,875,675,543
1499,697,757,993,739,381,1736,134,642,1428,520,958,687,544
1523,628,714,1105,490,630,1682,188,591,1468,517,950,691,550
1519,622,707,1122,489,609,1670,222,591,1468,382,1056,762,554
1509,591,777,1128,485,613,1391,501,591,1468,327,1104,822,560
1499,601,709,1196,421,677,1391,482,608,1470,302,977,832,560
1315,707,704,1279,416,682,1391,465,624,1456,317,977,817,573
1308,706,706,1278,423,682,1390,465,625,1456,317,976,805,594
1281,704,735,1278,422,683,1390,461,629,1456,317,964,793,529
1146,801,731,1320,422,683,1376,475,629,1346,427,960,793,484
1031,914,698,1292,485,683,1320,531,629,1341,432,889,783,369
1008,930,704,1293,485,683,1239,612,629,1341,432,829,783,236
870,1066,712,1213,565,683,1234,617,629,1341,432,818,782,217
920,1066,712,1198,580,683,1138,713,629,1213,557,815,591,216
955,1066,668,1242,580,683,1020,831,629,1191,571,823,573,216
992,988,746,1194,628,680,1022,832,532,1288,548,846,591,216
992,830,904,1186,636,680,1020,834,482,1338,538,856,516,187
1207,775,959,1127,695,655,867,1012,482,941,876,915,510,190
1211,720,1014,1045,697,715,878,1021,482,941,869,922,500,129
1219,732,1015,947,758,747,860,1044,367,1017,908,922,634,106
1224,732,1015,918,782,752,842,1062,219,1114,959,922,717,106
1179,777,1015,892,776,784,772,1132,219,929,1144,922,721,162
1076,880,1015,633,885,934,771,1113,223,898,1191,877,768,184
976,999,1015,606,851,995,771,1113,223,879,1160,906,805,189
972,1016,1015,529,927,990,527,1363,223,866,1173,906,875,227
954,1042,1036,527,929,977,434,1469,223,842,1197,906,958,252
831,1206,1036,527,929,969,358,1553,82,933,1247,736,950,252
740,1294,1039,502,947,976,358,1539,88,803,1385,653,1056,252
706,1328,914,627,946,977,184,1666,124,782,1384,682,1104,252
621,1412,836,705,947,961,118,1748,124,782,1384,635,977,252
621,1412,738,803,924,928,174,1748,122,681,1487,598,977,263
604,1429,709,832,906,927,193,1748,122,656,1512,528,976,265
534,1499,697,757,993,739,381,1736,134,642,1428,520,964,318
510,1523,628,714,1105,490,630,1682,188,591,1468,517,960,340
510,1519,622,707,1122,489,609,1670,222,591,1468,382,889,342
475,1509,591,777,1128,485,613,1391,501,591,1468,327,829,336
475,1499,601,709,1196,421,677,1391,482,608,1470,302,818,336
475,1315,707,704,1279,416,682,1391,465,624,1456,317,815,323
475,1308,706,706,1278,423,682,1390,465,625,1456,317,823,302
475,1281,704,735,1278,422,683,1390,461,629,1456,317,846,302
475,1146,801,731,1320,422,683,1376,475,629,1346,427,856,302
475,1031,914,698,1292,485,683,1320,531,629,1341,432,915,342
475,1008,930,704,1293,485,683,1239,612,629,1341,432,922,383
469,870,1066,712,1213,565,683,1234,617,629,1341,432,922,383
419,920,1066,712,1198,580,683,1138,713,629,1213,557,922,406
384,955,1066,668,1242,580,683,1020,831,629,1191,571,922,470
347,992,988,746,1194,628,680,1022,832,532,1288,548,877,476
347,992,830,904,1186,636,680,1020,834,482,1338,538,906,476
132,1207,775,959,1127,695,655,867,1012,482,941,876,906,460
128,1211,720,1014,1045,697,715,878,1021,482,941,869,906,463
107,1219,732,1015,947,758,747,860,1044,367,1017,908,736,455
102,1224,732,1015,918,782,752,842,1062,219,1114,959,653,564
102,1179,777,1015,892,776,784,772,1132,219,929,1144,682,568
102,1076,880,1015,633,885,934,771,1113,223,898,1191,635,545
83,976,999,1015,606,851,995,771,1113,223,879,1160,598,551
136,972,1016,1015,529,927,990,527,1363,223,866,1173,528,500
107,954,1042,1036,527,929,977,434,1469,223,842,1197,520,475
66,831,1206,1036,527,929,969,358,1553,82,933,1247,517,475
66,740,1294,1039,502,947,976,358,1539,88,803,1385,382,475
66,706,1328,914,627,946,977,184,1666,124,782,1384,327,545
90,621,1412,836,705,947,961,118,1748,124,782,1384,302,568
92,621,1412,738,803,924,928,174,1748,122,681,1487,317,559
92,604,1429,709,832,906,927,193,1748,122,656,1512,317,565
198,534,1499,697,757,993,739,381,1736,134,642,1428,317,607
279,510,1523,628,714,1105,490,630,1682,188,591,1468,427,590
370,510,1519,622,707,1122,489,609,1670,222,591,1468,432,584
370,475,1509,591,777,1128,485,613,1391,501,591,1468,432,584
398,475,1499,601,709,1196,421,677,1391,482,608,1470,432,584
413,475,1315,707,704,1279,416,682,1391,465,624,1456,557,584
433,475,1308,706,706,1278,423,682,1390,465,625,1456,571,677
444,475,1281,704,735,1278,422,683,1390,461,629,1456,548,766
479,475,1146,801,731,1320,422,683,1376,475,629,1346,538,766
638,475,1031,914,698,1292,485,683,1320,531,629,1341,876,726
724,475,1008,930,704,1293,485,683,1239,612,629,1341,869,685
724,469,870,1066,712,1213,565,683,1234,617,629,1341,908,685
762,419,920,1066,712,1198,580,683,1138,713,629,1213,959,662
902,384,955,1066,668,1242,580,683,1020,831,629,1191,1144,723
903,347,992,988,746,1194,628,680,1022,832,532,1288,1191,721
903,347,992,830,904,1186,636,680,1020,834,482,1338,1160,722
903,132,1207,775,959,1127,695,655,867,1012,482,941,1173,737
903,128,1211,720,1014,1045,697,715,878,1021,482,941,1197,734
951,107,1219,732,1015,947,758,747,860,1044,367,1017,1247,733
1112,102,1224,732,1015,918,782,752,842,1062,219,1114,1385,624
1159,102,1179,777,1015,892,776,784,772,1132,219,929,1384,563
1177,102,1076,880,1015,633,885,934,771,1113,223,898,1384,563
1183,83,976,999,1015,606,851,995,771,1113,223,879,1487,796
1123,136,972,1016,1015,529,927,990,527,1363,223,866,1512,796
1195,107,954,1042,1036,527,929,977,434,1469,223,842,1428,796
1443,66,831,1206,1036,527,929,969,358,1553,82,933,1468,796
1443,66,740,1294,1039,502,947,976,358,1539,88,803,1468,796
1443,66,706,1328,914,627,946,977,184,1666,124,782,1468,772
1419,90,621,1412,836,705,947,961,118,1748,124,782,1470,749
1417,92,621,1412,738,803,924,928,174,1748,122,681,1456,740
1417,92,604,1429,709,832,906,927,193,1748,122,656,1456,758
1311,198,534,1499,697,757,993,739,381,1736,134,642,1456,660
1261,279,510,1523,628,714,1105,490,630,1682,188,591,1346,649
1204,370,510,1519,622,707,1122,489,609,1670,222,591,1341,649
1278,370,475,1509,591,777,1128,485,613,1391,501,591,1341,649
1250,398,475,1499,601,709,1196,421,677,1391,482,608,1341,649
1235,413,475,1315,707,704,1279,416,682,1391,465,624,1213,649
1220,433,475,1308,706,706,1278,423,682,1390,465,625,1191,556
1237,444,475,1281,704,735,1278,422,683,1390,461,629,1288,468
1290,479,475,1146,801,731,1320,422,683,1376,475,629,1338,468
1175,638,475,1031,914,698,1292,485,683,1320,531,629,941,468
1213,724,475,1008,930,704,1293,485,683,1239,612,629,941,468
1267,724,469,870,1066,712,1213,565,683,1234,617,629,1017,468
1230,762,419,920,1066,712,1198,580,683,1138,713,629,1114,468
1122,902,384,955,1066,668,1242,580,683,1020,831,629,929,343
1173,903,347,992,988,746,1194,628,680,1022,832,532,898,339
1266,903,347,992,830,904,1186,636,680,1020,834,482,879,338
1383,903,132,1207,775,959,1127,695,655,867,1012,482,866,323
1425,903,128,1211,720,1014,1045,697,715,878,1021,482,842,323
1448,951,107,1219,732,1015,947,758,747,860,1044,367,933,325
1409,1112,102,1224,732,1015,918,782,752,842,1062,219,803,326
1376,1159,102,1179,777,1015,892,776,784,772,1132,219,782,326
1399,1177,102,1076,880,1015,633,885,934,771,1113,223,782,376
1401,1183,83,976,999,1015,606,851,995,771,1113,223,681,334
1398,1123,136,972,1016,1015,529,927,990,527,1363,223,656,392
1374,1195,107,954,1042,1036,527,929,977,434,1469,223,642,456
1320,1443,66,831,1206,1036,527,929,969,358,1553,82,591,505
1495,1443,66,740,1294,1039,502,947,976,358,1539,88,591,505
1529,1443,66,706,1328,914,627,946,977,184,1666,124,591,493
1589,1419,90,621,1412,836,705,947,961,118,1748,124,608,507
1618,1417,92,621,1412,738,803,924,928,174,1748,122,624,759
1618,1417,92,604,1429,709,832,906,927,193,1748,122,625,772
1713,1311,198,534,1499,697,757,993,739,381,1736,134,629,848
1689,1261,279,510,1523,628,714,1105,490,630,1682,188,629,848
1656,1204,370,510,1519,622,707,1122,489,609,1670,222,629,848
1583,1278,370,475,1509,591,777,1128,485,613,1391,501,629,848
1591,1250,398,475,1499,601,709,1196,421,677,1391,482,629,848
1593,1235,413,475,1315,707,704,1279,416,682,1391,465,629,848
1588,1220,433,475,1308,706,706,1278,423,682,1390,465,629,848
1560,1237,444,475,1281,704,735,1278,422,683,1390,461,532,847
1472,1290,479,475,1146,801,731,1320,422,683,1376,475,482,847
1428,1175,638,475,1031,914,698,1292,485,683,1320,531,482,847
1304,1213,724,475,1008,930,704,1293,485,683,1239,612,482,957
1307,1267,724,469,870,1066,712,1213,565,683,1234,617,367,957
1382,1230,762,419,920,1066,712,1198,580,683,1138,713,219,1024
1417,1122,902,384,955,1066,668,1242,580,683,1020,831,219,1024
1369,1173,903,347,992,988,746,1194,628,680,1022,832,223,1024
1313,1266,903,347,992,830,904,1186,636,680,1020,834,223,1027
1197,1383,903,132,1207,775,959,1127,695,655,867,1012,223,1076
1155,1425,903,128,1211,720,1014,1045,697,715,878,1021,223,1093
1084,1448,951,107,1219,732,1015,947,758,747,860,1044,82,1091
962,1409,1112,102,1224,732,1015,918,782,752,842,1062,88,1134
992,1376,1159,102,1179,777,1015,892,776,784,772,1132,124,1273
995,1399,1177,102,1076,880,1015,633,885,934,771,1113,124,1657
987,1401,1183,83,976,999,1015,606,851,995,771,1113,122,1456
984,1398,1123,136,972,1016,1015,529,927,990,527,1363,122,1398
936,1374,1195,107,954,1042,1036,527,929,977,434,1469,134,1334
834,1320,1443,66,831,1206,1036,527,929,969,358,1553,188,1285
659,1495,1443,66,740,1294,1039,502,947,976,358,1539,222,1286
625,1529,1443,66,706,1328,914,627,946,977,184,1666,501,1252
565,1589,1419,90,621,1412,836,705,947,961,118,1748,482,1297
840,1618,1417,92,621,1412,738,803,924,928,174,1748,465,1045
881,1618,1417,92,604,1429,709,832,906,927,193,1748,465,1055
810,1713,1311,198,534,1499,697,757,993,739,381,1736,461,1007
899,1689,1261,279,510,1523,628,714,1105,490,630,1682,475,1007
907,1656,1204,370,510,1519,622,707,1122,489,609,1670,531,1007
906,1583,1278,370,475,1509,591,777,1128,485,613,1391,612,1019
903,1591,1250,398,475,1499,601,709,1196,421,677,1391,617,1032
901,1593,1235,413,475,1315,707,704,1279,416,682,1391,713,1135
901,1588,1220,433,475,1308,706,706,1278,423,682,1390,831,1249
952,1560,1237,444,475,1281,704,735,1278,422,683,1390,832,1249
1009,1472,1290,479,475,1146,801,731,1320,422,683,1376,834,1249
1035,1428,1175,638,475,1031,914,698,1292,485,683,1320,1012,1249
1035,1304,1213,724,475,1008,930,704,1293,485,683,1239,1021,1139
1028,1307,1267,724,469,870,1066,712,1213,565,683,1234,1044,1160
963,1382,1230,762,419,920,1066,712,1198,580,683,1138,1062,1093
974,1417,1122,902,384,955,1066,668,1242,580,683,1020,1132,1093
1304,1369,1173,903,347,992,988,746,1194,628,680,1022,1113,1093
1268,1313,1266,903,347,992,830,904,1186,636,680,1020,1113,1092
1267,1197,1383,903,132,1207,775,959,1127,695,655,867,1363,1044
1267,1155,1425,903,128,1211,720,1014,1045,697,715,878,1469,1087
1267,1084,1448,951,107,1219,732,1015,947,758,747,860,1553,1087
1267,962,1409,1112,102,1224,732,1015,918,782,752,842,1539,1043
1223,992,1376,1159,102,1179,777,1015,892,776,784,772,1666,904
1179,995,1399,1177,102,1076,880,1015,633,885,934,771,1748,470
1179,987,1401,1183,83,976,999,1015,606,851,995,771,1748,469
1179,984,1398,1123,136,972,1016,1015,529,927,990,527,1748,469
1179,936,1374,1195,107,954,1042,1036,527,929,977,434,1736,469
1087,834,1320,1443,66,831,1206,1036,527,929,969,358,1682,469
1196,659,1495,1443,66,740,1294,1039,502,947,976,358,1670,468
1202,625,1529,1443,66,706,1328,914,627,946,977,184,1391,468
1207,565,1589,1419,90,621,1412,836,705,947,961,118,1391,409
912,840,1618,1417,92,621,1412,738,803,924,928,174,1391,409
871,881,1618,1417,92,604,1429,709,832,906,927,193,1390,354
847,810,1713,1311,198,534,1499,697,757,993,739,381,1390,326
751,899,1689,1261,279,510,1523,628,714,1105,490,630,1376,327
771,907,1656,1204,370,510,1519,622,707,1122,489,609,1320,658
772,906,1583,1278,370,475,1509,591,777,1128,485,613,1239,759
767,903,1591,1250,398,475,1499,601,709,1196,421,677,1234,776
767,901,1593,1235,413,475,1315,707,704,1279,416,682,1138,673
767,901,1588,1220,433,475,1308,706,706,1278,423,682,1020,560
716,952,1560,1237,444,475,1281,704,735,1278,422,683,1022,610
659,1009,1472,1290,479,475,1146,801,731,1320,422,683,1020,652
710,1035,1428,1175,638,475,1031,914,698,1292,485,683,867,652
729,1035,1304,1213,724,475,1008,930,704,1293,485,683,878,652
679,1028,1307,1267,724,469,870,1066,712,1213,565,683,860,631
668,963,1382,1230,762,419,920,1066,712,1198,580,683,842,631
590,974,1417,1122,902,384,955,1066,668,1242,580,683,772,631
256,1304,1369,1173,903,347,992,988,746,1194,628,680,771,631
255,1268,1313,1266,903,347,992,830,904,1186,636,680,771,629
312,1267,1197,1383,903,132,1207,775,959,1127,695,655,527,628
312,1267,1155,1425,903,128,1211,720,1014,1045,697,715,434,575
312,1267,1084,1448,951,107,1219,732,1015,947,758,747,358,575
479,1267,962,1409,1112,102,1224,732,1015,918,782,752,358,586
489,1223,992,1376,1159,102,1179,777,1015,892,776,784,184,596
530,1179,995,1399,1177,102,1076,880,1015,633,885,934,118,613
530,1179,987,1401,1183,83,976,999,1015,606,851,995,174,652
530,1179,984,1398,1123,136,972,1016,1015,529,927,990,193,825
544,1179,936,1374,1195,107,954,1042,1036,527,929,977,381,842
549,1087,834,1320,1443,66,831,1206,1036,527,929,969,630,842
440,1196,659,1495,1443,66,740,1294,1039,502,947,976,609,842
434,1202,625,1529,1443,66,706,1328,914,627,946,977,613,842
429,1207,565,1589,1419,90,621,1412,836,705,947,961,677,842
420,912,840,1618,1417,92,621,1412,738,803,924,928,682,842
420,871,881,1618,1417,92,604,1429,709,832,906,927,682,842
425,847,810,1713,1311,198,534,1499,697,757,993,739,683,843
476,751,899,1689,1261,279,510,1523,628,714,1105,490,683,842
447,771,907,1656,1204,370,510,1519,622,707,1122,489,683,511
446,772,906,1583,1278,370,475,1509,591,777,1128,485,683,398
446,767,903,1591,1250,398,475,1499,601,709,1196,421,683,368
446,767,901,1593,1235,413,475,1315,707,704,1279,416,683,368
446,767,901,1588,1220,433,475,1308,706,706,1278,423,683,367
446,716,952,1560,1237,444,475,1281,704,735,1278,422,680,317
456,659,1009,1472,1290,479,475,1146,801,731,1320,422,680,275
379,710,1035,1428,1175,638,475,1031,914,698,1292,485,655,280
360,729,1035,1304,1213,724,475,1008,930,704,1293,485,715,323
360,679,1028,1307,1267,724,469,870,1066,712,1213,565,747,383
374,668,963,1382,1230,762,419,920,1066,712,1198,580,752,424
375,590,974,1417,1122,902,384,955,1066,668,1242,580,784,477
375,256,1304,1369,1173,903,347,992,988,746,1194,628,934,481
375,255,1268,1313,1266,903,347,992,830,904,1186,636,995,481
318,312,1267,1197,1383,903,132,1207,775,959,1127,695,990,483
318,312,1267,1155,1425,903,128,1211,720,1014,1045,697,977,476
318,312,1267,1084,1448,951,107,1219,732,1015,947,758,969,476
151,479,1267,962,1409,1112,102,1224,732,1015,918,782,976,465
380,489,1223,992,1376,1159,102,1179,777,1015,892,776,977,455
352,530,1179,995,1399,1177,102,1076,880,1015,633,885,961,438
352,530,1179,987,1401,1183,83,976,999,1015,606,851,928,493
352,530,1179,984,1398,1123,136,972,1016,1015,529,927,927,338
338,544,1179,936,1374,1195,107,954,1042,1036,527,929,739,402
333,549,1087,834,1320,1443,66,831,1206,1036,527,929,490,471
333,440,1196,659,1495,1443,66,740,1294,1039,502,947,489,522
333,434,1202,625,1529,1443,66,706,1328,914,627,946,485,547
406,429,1207,565,1589,1419,90,621,1412,836,705,947,421,547
409,420,912,840,1618,1417,92,621,1412,738,803,924,416,552
509,420,871,881,1618,1417,92,604,1429,709,832,906,423,552
615,425,847,810,1713,1311,198,534,1499,697,757,993,422,561
592,476,751,899,1689,1261,279,510,1523,628,714,1105,422,561
624,447,771,907,1656,1204,370,510,1519,622,707,1122,485,563
624,446,772,906,1583,1278,370,475,1509,591,777,1128,485,573
680,446,767,903,1591,1250,398,475,1499,601,709,1196,565,573
690,446,767,901,1593,1235,413,475,1315,707,704,1279,580,573
690,446,767,901,1588,1220,433,475,1308,706,706,1278,580,647
690,446,716,952,1560,1237,444,475,1281,704,735,1278,628,665
680,456,659,1009,1472,1290,479,475,1146,801,731,1320,636,680
680,379,710,1035,1428,1175,638,475,1031,914,698,1292,695,675
826,360,729,1035,1304,1213,724,475,1008,930,704,1293,697,632
832,360,679,1028,1307,1267,724,469,870,1066,712,1213,758,572
856,374,668,963,1382,1230,762,419,920,1066,712,1198,782,539
855,375,590,974,1417,1122,902,384,955,1066,668,1242,776,486
873,375,256,1304,1369,1173,903,347,992,988,746,1194,885,482
873,375,255,1268,1313,1266,903,347,992,830,904,1186,851,520
893,318,312,1267,1197,1383,903,132,1207,775,959,1127,927,518
937,318,312,1267,1155,1425,903,128,1211,720,1014,1045,929,542
946,318,312,1267,1084,1448,951,107,1219,732,1015,947,929,569
946,151,479,1267,962,1409,1112,102,1224,732,1015,918,947,593
716,380,489,1223,992,1376,1159,102,1179,777,1015,892,946,593
707,352,530,1179,995,1399,1177,102,1076,880,1015,633,947,593
826,352,530,1179,987,1401,1183,83,976,999,1015,606,924,499
1158,352,530,1179,984,1398,1123,136,972,1016,1015,529,906,607
1221,338,544,1179,936,1374,1195,107,954,1042,1036,527,993,619
1252,333,549,1087,834,1320,1443,66,831,1206,1036,527,1105,666
1270,333,440,1196,659,1495,1443,66,740,1294,1039,502,1122,671
1373,333,434,1202,625,1529,1443,66,706,1328,914,627,1128,668
1403,406,429,1207,565,1589,1419,90,621,1412,836,705,1196,668
1452,409,420,912,840,1618,1417,92,621,1412,738,803,1279,699
1500,509,420,871,881,1618,1417,92,604,1429,709,832,1278,699
1412,615,425,847,810,1713,1311,198,534,1499,697,757,1278,689
1394,592,476,751,899,1689,1261,279,510,1523,628,714,1320,689
1362,624,447,771,907,1656,1204,370,510,1519,622,707,1292,687
1362,624,446,772,906,1583,1278,370,475,1509,591,777,1293,677
1306,680,446,767,903,1591,1250,398,475,1499,601,709,1213,677
1296,690,446,767,901,1593,1235,413,475,1315,707,704,1198,689
1296,690,446,767,901,1588,1220,433,475,1308,706,706,1242,680
1296,690,446,716,952,1560,1237,444,475,1281,704,735,1194,667
1296,680,456,659,1009,1472,1290,479,475,1146,801,731,1186,660
1296,680,379,710,1035,1428,1175,638,475,1031,914,698,1127,680
1150,826,360,729,1035,1304,1213,724,475,1008,930,704,1045,680
1144,832,360,679,1028,1307,1267,724,469,870,1066,712,947,680
1106,856,374,668,963,1382,1230,762,419,920,1066,712,918,672
1106,855,375,590,974,1417,1122,902,384,955,1066,668,892,672
1088,873,375,256,1304,1369,1173,903,347,992,988,746,633,672
1088,873,375,255,1268,1313,1266,903,347,992,830,904,606,634
1090,893,318,312,1267,1197,1383,903,132,1207,775,959,529,642
1047,937,318,312,1267,1155,1425,903,128,1211,720,1014,527,645
1040,946,318,312,1267,1084,1448,951,107,1219,732,1015,527,629
1108,946,151,479,1267,962,1409,1112,102,1224,732,1015,502,606
1111,716,380,489,1223,992,1376,1159,102,1179,777,1015,627,640
1108,707,352,530,1179,995,1399,1177,102,1076,880,1015,705,704
989,826,352,530,1179,987,1401,1183,83,976,999,1015,803,721
657,1158,352,530,1179,984,1398,1123,136,972,1016,1015,832,595
610,1221,338,544,1179,936,1374,1195,107,954,1042,1036,757,502
580,1252,333,549,1087,834,1320,1443,66,831,1206,1036,714,386
667,1270,333,440,1196,659,1495,1443,66,740,1294,1039,707,336
588,1373,333,434,1202,625,1529,1443,66,706,1328,914,777,314
546,1403,406,429,1207,565,1589,1419,90,621,1412,836,709,314
497,1452,409,420,912,840,1618,1417,92,621,1412,738,704,278
389,1500,509,420,871,881,1618,1417,92,604,1429,709,706,278
367,1412,615,425,847,810,1713,1311,198,534,1499,697,735,278
411,1394,592,476,751,899,1689,1261,279,510,1523,628,731,319
430,1362,624,447,771,907,1656,1204,370,510,1519,622,698,319
430,1362,624,446,772,906,1583,1278,370,475,1509,591,704,319
434,1306,680,446,767,903,1591,1250,398,475,1499,601,712,319
448,1296,690,446,767,901,1593,1235,413,475,1315,707,712,307
534,1296,690,446,767,901,1588,1220,433,475,1308,706,668,247
654,1296,690,446,716,952,1560,1237,444,475,1281,704,746,374
683,1296,680,456,659,1009,1472,1290,479,475,1146,801,904,374
690,1296,680,379,710,1035,1428,1175,638,475,1031,914,959,354
694,1150,826,360,729,1035,1304,1213,724,475,1008,930,1014,380
748,1144,832,360,679,1028,1307,1267,724,469,870,1066,1015,387
803,1106,856,374,668,963,1382,1230,762,419,920,1066,1015,387
803,1106,855,375,590,974,1417,1122,902,384,955,1066,1015,387
815,1088,873,375,256,1304,1369,1173,903,347,992,988,1015,387
815,1088,873,375,255,1268,1313,1266,903,347,992,830,1015,391
793,1090,893,318,312,1267,1197,1383,903,132,1207,775,1015,384
792,1047,937,318,312,1267,1155,1425,903,128,1211,720,1036,357
790,1040,946,318,312,1267,1084,1448,951,107,1219,732,1036,346
722,1108,946,151,479,1267,962,1409,1112,102,1224,732,1039,345
746,1111,716,380,489,1223,992,1376,1159,102,1179,777,914,311
780,1108,707,352,530,1179,995,1399,1177,102,1076,880,836,247
991,989,826,352,530,1179,987,1401,1183,83,976,999,738,230
994,657,1158,352,530,1179,984,1398,1123,136,972,1016,709,230
978,610,1221,338,544,1179,936,1374,1195,107,954,1042,697,230
1049,580,1252,333,549,1087,834,1320,1443,66,831,1206,628,230
1086,667,1270,333,440,1196,659,1495,1443,66,740,1294,622,224
1304,588,1373,333,434,1202,625,1529,1443,66,706,1328,591,224
1243,546,1403,406,429,1207,565,1589,1419,90,621,1412,601,225
1240,497,1452,409,420,912,840,1618,1417,92,621,1412,707,246
1200,389,1500,509,420,871,881,1618,1417,92,604,1429,706,258
1199,367,1412,615,425,847,810,1713,1311,198,534,1499,704,270
1145,411,1394,592,476,751,899,1689,1261,279,510,1523,801,229
1126,430,1362,624,447,771,907,1656,1204,370,510,1519,914,239
1126,430,1362,624,446,772,906,1583,1278,370,475,1509,930,239
1122,434,1306,680,446,767,903,1591,1250,398,475,1499,1066,240
1108,448,1296,690,446,767,901,1593,1235,413,475,1315,1066,431
1022,534,1296,690,446,767,901,1588,1220,433,475,1308,1066,444
902,654,1296,690,446,716,952,1560,1237,444,475,1281,988,339
873,683,1296,680,456,659,1009,1472,1290,479,475,1146,830,427
866,690,1296,680,379,710,1035,1428,1175,638,475,1031,775,433
884,694,1150,826,360,729,1035,1304,1213,724,475,1008,720,417
830,748,1144,832,360,679,1028,1307,1267,724,469,870,732,446
775,803,1106,856,374,668,963,1382,1230,762,419,920,732,446
775,803,1106,855,375,590,974,1417,1122,902,384,955,777,446
763,815,1088,873,375,256,1304,1369,1173,903,347,992,880,446
776,815,1088,873,375,255,1268,1313,1266,903,347,992,999,442
835,793,1090,893,318,312,1267,1197,1383,903,132,1207,1016,441
835,792,1047,937,318,312,1267,1155,1425,903,128,1211,1042,464
914,790,1040,946,318,312,1267,1084,1448,951,107,1219,1206,486
1079,722,1108,946,151,479,1267,962,1409,1112,102,1224,1294,515
1071,746,1111,716,380,489,1223,992,1376,1159,102,1179,1328,522
