Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,T-11,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4,Accum_y-5,Accum_y-6,Accum_y-7,Accum_y-8,Accum_y-9,Accum_y-10
547,337,457,850,474,358,438,470,687,834,1464,1816,809,2307,647,575,1184,1363,947,389,1450,720
525,295,469,902,474,358,408,448,708,859,1356,1921,820,2337,437,575,1431,1363,947,564,1470,783
524,296,468,903,474,358,389,449,726,859,1320,1762,800,2432,363,575,1586,1363,947,600,1470,827
524,238,296,1132,475,324,400,472,667,918,1080,1930,739,2431,232,595,1732,1363,339,695,1473,827
524,238,280,1042,581,300,384,512,666,910,874,2053,705,2560,233,620,1900,1363,284,770,1520,803
525,238,243,1079,581,285,359,552,666,835,935,2024,665,2721,276,620,1910,1363,318,820,1432,751
522,247,241,1006,656,285,312,599,666,792,978,1976,640,2685,283,620,1955,1363,318,890,1420,638
522,247,239,1008,656,285,301,610,666,792,963,1983,657,2553,292,629,2013,1363,318,890,1420,623
531,235,251,947,620,382,301,610,666,734,970,2023,614,2494,319,656,2096,1363,265,900,1420,590
549,235,251,766,740,443,266,645,665,711,994,2022,682,2301,465,720,2086,1363,266,925,1420,664
549,235,251,764,742,443,266,645,665,711,981,2035,711,2250,756,720,2177,1363,266,956,1420,718
550,235,251,726,780,443,266,645,665,689,1003,2035,747,2230,941,720,2124,1293,246,956,1420,721
550,235,251,692,814,436,272,646,665,689,998,2036,720,2134,1001,720,2111,1150,246,958,1378,772
550,235,251,685,820,436,273,646,623,731,998,2036,711,2158,1011,720,2111,993,254,1051,1325,835
550,220,266,642,863,436,261,658,623,731,979,2008,712,2120,1011,720,2101,863,251,1043,1212,905
550,150,336,642,863,436,230,689,623,731,974,1997,709,2038,1006,699,2101,786,251,1023,1139,920
550,117,369,640,865,398,268,689,623,731,934,1967,709,1975,1010,611,2101,639,256,1049,1104,907
546,86,404,552,953,398,252,705,623,731,878,1992,808,1969,1052,501,2101,612,259,829,744,947
546,86,385,569,955,386,252,649,653,724,888,1991,807,1773,1038,378,2116,594,172,829,687,1042
428,191,398,568,956,386,217,577,757,700,884,2022,823,1348,1022,339,2103,307,164,877,687,1034
357,249,411,568,956,386,158,508,806,609,1047,2019,853,1256,985,224,2068,297,239,936,687,1057
275,331,411,568,956,386,158,506,621,683,952,2226,1387,1152,996,194,2068,174,239,1036,657,1173
78,530,411,568,956,386,158,506,520,679,1012,2271,1509,1126,1000,172,2068,264,219,1099,654,1353
52,561,411,568,873,391,209,533,474,719,969,2320,1525,1057,1061,172,2068,419,209,1244,653,1395
52,561,411,568,792,472,209,533,473,716,967,2221,1816,1107,1068,172,2008,647,209,1445,575,1365
