Accum_y-0,T-1,T-2,T-3,T-4,T-5,T-6,T-7,T-8,T-9,T-10,Accum_y-1,Accum_y-2,Accum_y-3,Accum_y-4
509,1254,831,341,900,351,286,705,80,240,719,547,809,2307,647
488,1246,398,801,902,342,295,705,61,224,733,525,820,2337,437
457,1303,402,801,902,321,316,705,49,236,733,524,800,2432,363
410,1349,403,801,902,247,251,840,53,234,735,524,739,2431,232
403,1252,502,823,902,232,250,749,160,218,751,524,705,2560,233
403,1170,569,838,902,187,295,726,183,218,751,525,665,2721,276
403,1102,637,838,902,116,366,726,183,218,751,522,640,2685,283
403,1068,671,838,870,131,383,726,172,229,751,522,657,2553,292
403,1033,706,838,860,129,395,721,177,229,691,531,614,2494,319
403,1033,706,838,860,129,395,691,207,229,690,549,682,2301,465
403,1026,713,838,860,105,419,691,207,222,697,549,711,2250,756
403,772,967,838,738,220,426,691,207,222,697,550,747,2230,941
350,719,1073,838,700,258,426,691,207,222,697,550,720,2134,1001
350,668,1124,755,678,363,426,691,207,222,697,550,711,2158,1011
350,668,1124,744,614,438,426,691,201,228,692,550,712,2120,1011
350,668,1115,743,624,438,426,691,189,240,692,550,709,2038,1006
295,723,1095,763,624,438,426,691,189,240,666,550,709,1975,1010
315,729,1051,807,624,438,426,690,190,240,663,546,808,1969,1052
389,613,1176,810,624,438,426,668,212,240,489,546,807,1773,1038
321,657,1176,834,624,438,426,551,329,240,482,428,823,1348,1022
319,549,1194,926,624,438,426,450,430,240,478,357,853,1256,985
346,561,1170,884,569,559,426,385,495,240,478,275,1387,1152,996
244,665,1170,880,526,606,331,480,495,240,433,78,1509,1126,1000
248,655,1180,880,525,607,324,484,498,225,423,52,1525,1057,1061
248,647,1188,874,521,568,363,464,528,153,339,52,1816,1107,1068
250,544,1291,874,466,622,364,461,531,112,345,73,1921,1153,1076
253,542,1291,876,466,622,359,466,523,106,205,73,1762,1253,1085
253,542,1283,884,428,660,359,417,568,110,205,73,1930,1253,1096
247,548,1264,744,484,763,359,344,641,110,205,73,2053,1185,1126
211,517,1259,816,443,804,359,272,713,73,239,68,2024,1129,1126
209,512,1266,816,395,846,364,273,713,72,240,63,1976,951,1126
209,509,1254,831,341,900,351,286,705,80,240,63,1983,958,1126
209,488,1246,398,801,902,342,295,705,61,224,123,2023,994,1126
179,457,1303,402,801,902,321,316,705,49,236,124,2022,994,1126
185,410,1349,403,801,902,247,251,840,53,234,124,2035,968,1126
228,403,1252,502,823,902,232,250,749,160,218,124,2035,839,1125
228,403,1170,569,838,902,187,295,726,183,218,123,2036,695,1087
228,403,1102,637,838,902,116,366,726,183,218,117,2036,674,1031
228,403,1068,671,838,870,131,383,726,172,229,122,2008,677,1022
228,403,1033,706,838,860,129,395,721,177,229,113,1997,681,995
246,403,1033,706,838,860,129,395,691,207,229,121,1967,681,849
259,403,1026,713,838,860,105,419,691,207,222,124,1992,681,538
380,403,772,967,838,738,220,426,691,207,222,297,1991,626,325
538,350,719,1073,838,700,258,426,691,207,222,304,2022,586,257
627,350,668,1124,755,678,363,426,691,207,222,308,2019,531,247
636,350,668,1124,744,614,438,426,691,201,228,308,2226,531,247
636,350,668,1115,743,624,438,426,691,189,240,353,2271,531,244
643,295,723,1095,763,624,438,426,691,189,240,378,2320,531,256
790,315,729,1051,807,624,438,426,690,190,240,534,2221,531,214
709,389,613,1176,810,624,438,426,668,212,240,569,2298,507,223
717,321,657,1176,834,624,438,426,551,329,240,723,2325,501,236
731,319,549,1194,926,624,438,426,450,430,240,723,2312,501,274
692,346,561,1170,884,569,559,426,385,495,240,723,1778,528,240
703,244,665,1170,880,526,606,331,480,495,240,724,1715,513,240
847,248,655,1180,880,525,607,324,484,498,225,719,1732,532,179
1129,248,647,1188,874,521,568,363,464,528,153,719,1464,482,172
1244,250,544,1291,874,466,622,364,461,531,112,733,1356,423,174
1244,253,542,1291,876,466,622,359,466,523,106,733,1320,320,189
1244,253,542,1283,884,428,660,359,417,568,110,735,1080,351,178
1245,247,548,1264,744,484,763,359,344,641,110,751,874,350,148
1245,211,517,1259,816,443,804,359,272,713,73,751,935,390,148
1299,209,512,1266,816,395,846,364,273,713,72,751,978,441,148
1321,209,509,1254,831,341,900,351,286,705,80,751,963,434,148
1334,209,488,1246,398,801,902,342,295,705,61,691,970,362,148
1334,179,457,1303,402,801,902,321,316,705,49,690,994,266,149
1328,185,410,1349,403,801,902,247,251,840,53,697,981,253,149
1268,228,403,1252,502,823,902,232,250,749,160,697,1003,283,149
1268,228,403,1170,569,838,902,187,295,726,183,697,998,266,143
1268,228,403,1102,637,838,902,116,366,726,183,697,998,266,142
1268,228,403,1068,671,838,870,131,383,726,172,692,979,263,142
1268,228,403,1033,706,838,860,129,395,721,177,692,974,269,142
1250,246,403,1033,706,838,860,129,395,691,207,666,934,298,142
